DISCOUNT,DATE,QUANTITY
,7/7/2024,463
,4/29/2024,426
,4/8/2024,310
47,1/16/2024,288
,4/4/2024,305
,2/16/2024,250
,5/13/2024,336
66,4/30/2024,98
30,7/31/2024,493
44,2/18/2024,280
63,9/10/2024,475
28,4/5/2024,205
,6/5/2024,106
77,3/24/2024,51
37,4/4/2024,134
,8/4/2024,120
,3/18/2024,309
,2/8/2024,496
,2/22/2024,413
82,9/6/2024,250
76,7/27/2024,217
,4/18/2024,389
49,6/15/2024,79
,1/12/2024,31
12,1/13/2024,489
48,8/1/2024,131
74,7/29/2024,331
,8/6/2024,152
,2/14/2024,494
,9/10/2024,303
,1/5/2024,424
70,5/26/2024,20
88,3/24/2024,378
,7/28/2024,338
57,2/3/2024,221
63,3/26/2024,36
,1/22/2024,234
,1/12/2024,419
45,3/21/2024,26
,6/22/2024,242
,7/20/2024,229
,9/12/2024,494
28,1/16/2024,195
,9/11/2024,78
56,6/30/2024,220
,3/6/2024,18
,7/31/2024,396
29,8/6/2024,224
,4/1/2024,81
,5/17/2024,473
,8/23/2024,250
74,8/11/2024,489
87,3/9/2024,393
,6/5/2024,137
87,8/25/2024,290
12,2/7/2024,279
,8/25/2024,152
44,5/16/2024,493
,5/21/2024,105
,5/12/2024,319
19,7/17/2024,268
27,5/13/2024,445
,7/2/2024,200
,6/25/2024,230
24,8/7/2024,30
,5/14/2024,387
42,2/1/2024,231
68,1/31/2024,334
,5/11/2024,352
48,4/27/2024,288
,1/6/2024,315
,7/6/2024,246
48,3/6/2024,85
88,7/30/2024,52
43,3/21/2024,444
14,2/4/2024,402
,9/13/2024,358
,7/31/2024,495
78,1/22/2024,221
54,3/3/2024,398
,2/3/2024,429
86,3/17/2024,174
64,8/10/2024,415
68,6/3/2024,443
,7/9/2024,365
,8/26/2024,467
,3/14/2024,70
,5/30/2024,272
,7/1/2024,247
,2/10/2024,119
68,5/19/2024,315
,5/9/2024,273
,7/29/2024,252
35,1/11/2024,449
23,6/3/2024,476
,5/4/2024,213
,2/14/2024,34
,1/28/2024,493
85,7/11/2024,224
14,9/5/2024,199
,6/20/2024,334
,6/12/2024,425
65,3/18/2024,179
,4/14/2024,476
,4/28/2024,71
,8/12/2024,366
65,5/2/2024,162
81,6/20/2024,287
,5/4/2024,472
,3/24/2024,80
,4/24/2024,251
68,6/24/2024,79
,9/4/2024,40
,7/10/2024,452
10,3/24/2024,398
68,5/2/2024,126
78,9/7/2024,197
,3/8/2024,353
,1/25/2024,389
,7/25/2024,307
63,3/9/2024,373
26,9/2/2024,95
14,6/10/2024,333
,3/17/2024,56
20,3/9/2024,276
52,1/30/2024,66
59,7/26/2024,212
16,8/18/2024,346
33,8/10/2024,163
62,4/25/2024,343
,5/9/2024,242
58,7/19/2024,116
74,4/11/2024,64
68,2/5/2024,465
,9/9/2024,257
,6/16/2024,156
,1/12/2024,387
23,5/6/2024,164
,7/9/2024,67
,3/23/2024,365
,2/4/2024,232
72,7/6/2024,73
32,2/11/2024,274
56,5/14/2024,460
81,2/6/2024,441
,5/4/2024,425
,4/29/2024,453
15,4/27/2024,36
72,3/23/2024,388
56,7/16/2024,395
,7/29/2024,327
11,6/17/2024,411
,4/30/2024,475
42,5/27/2024,120
,5/3/2024,411
87,4/25/2024,102
66,8/29/2024,141
,2/15/2024,412
69,4/24/2024,479
69,5/7/2024,263
,2/23/2024,160
,7/2/2024,286
82,6/12/2024,207
,8/16/2024,168
,2/8/2024,367
,1/12/2024,360
,2/13/2024,80
,5/31/2024,199
,1/20/2024,15
,2/6/2024,304
70,6/30/2024,338
13,4/15/2024,118
52,3/25/2024,453
,1/20/2024,129
38,1/31/2024,281
19,3/25/2024,189
47,2/15/2024,326
,2/21/2024,441
,8/20/2024,228
43,5/25/2024,108
,8/29/2024,26
74,4/18/2024,107
,9/4/2024,423
42,1/8/2024,57
,8/19/2024,443
49,9/8/2024,99
,4/30/2024,42
,6/17/2024,199
,8/21/2024,439
81,8/8/2024,215
12,4/7/2024,119
,5/4/2024,108
12,3/31/2024,332
55,3/10/2024,76
77,5/19/2024,140
,2/25/2024,106
,9/11/2024,224
,8/31/2024,450
70,5/12/2024,18
,6/17/2024,163
,7/16/2024,34
,4/17/2024,79
,2/19/2024,415
,6/21/2024,266
,5/16/2024,244
,2/14/2024,17
,4/16/2024,73
52,3/11/2024,412
83,6/21/2024,430
16,4/17/2024,251
,6/17/2024,79
,4/10/2024,48
,7/24/2024,151
,2/19/2024,332
39,9/1/2024,226
35,7/28/2024,140
,2/19/2024,343
,5/6/2024,16
77,6/4/2024,16
25,2/20/2024,440
,2/29/2024,480
76,2/28/2024,470
63,7/11/2024,196
,3/9/2024,154
32,5/24/2024,38
,4/18/2024,298
,9/7/2024,40
20,6/16/2024,48
,4/8/2024,464
14,5/20/2024,103
79,8/20/2024,134
60,4/10/2024,131
60,2/22/2024,472
62,4/1/2024,172
34,7/26/2024,29
,3/7/2024,402
43,5/30/2024,386
,7/29/2024,358
,9/13/2024,152
77,4/28/2024,244
,2/22/2024,427
15,7/13/2024,310
51,4/21/2024,68
68,9/7/2024,238
42,8/16/2024,96
84,2/24/2024,189
,7/28/2024,234
,1/10/2024,234
,1/10/2024,372
30,4/28/2024,199
86,7/20/2024,366
86,1/15/2024,87
,2/14/2024,312
86,6/10/2024,306
28,6/17/2024,399
,8/19/2024,54
,8/13/2024,364
,6/24/2024,350
,1/25/2024,151
35,4/25/2024,294
41,7/9/2024,77
,3/17/2024,472
75,4/15/2024,468
,5/15/2024,452
,6/15/2024,483
45,8/11/2024,372
,7/2/2024,397
,3/8/2024,100
,6/20/2024,449
33,8/4/2024,354
42,7/11/2024,94
23,5/26/2024,307
,1/25/2024,458
51,5/23/2024,169
34,1/8/2024,460
29,5/30/2024,77
,6/13/2024,342
69,8/24/2024,392
42,3/11/2024,357
,8/19/2024,67
,7/26/2024,76
,7/7/2024,37
,2/4/2024,238
,8/22/2024,464
,9/2/2024,23
,8/28/2024,125
,3/8/2024,209
37,6/24/2024,197
34,3/8/2024,359
32,3/12/2024,18
56,7/17/2024,252
89,4/1/2024,186
,5/8/2024,94
19,5/3/2024,325
55,3/24/2024,152
54,2/16/2024,36
,7/10/2024,52
49,1/13/2024,280
,8/31/2024,169
66,7/10/2024,497
68,8/3/2024,348
,7/27/2024,214
70,6/25/2024,59
,8/9/2024,322
69,4/6/2024,159
54,3/3/2024,96
22,8/24/2024,289
72,5/27/2024,92
12,3/2/2024,341
,5/17/2024,405
65,7/12/2024,315
27,2/19/2024,262
,1/14/2024,472
,2/22/2024,461
79,3/1/2024,76
79,1/4/2024,433
,9/5/2024,353
,1/4/2024,79
,6/30/2024,458
,2/2/2024,163
,8/21/2024,87
,5/19/2024,183
,8/29/2024,486
74,1/21/2024,398
55,3/29/2024,138
90,3/29/2024,395
,2/24/2024,217
,2/5/2024,172
54,8/22/2024,388
25,4/9/2024,279
,8/26/2024,125
79,2/11/2024,411
59,9/10/2024,105
,2/26/2024,101
76,1/18/2024,176
15,6/24/2024,452
84,1/14/2024,30
,3/13/2024,274
,4/15/2024,121
,6/3/2024,93
,5/3/2024,77
,2/10/2024,142
72,7/14/2024,148
59,2/12/2024,209
17,9/9/2024,124
,7/13/2024,299
,8/9/2024,495
49,5/7/2024,16
32,8/24/2024,220
,3/27/2024,202
,6/17/2024,432
,7/28/2024,154
37,7/8/2024,270
,4/11/2024,241
27,9/5/2024,123
34,4/1/2024,452
,4/11/2024,375
,9/12/2024,374
33,1/23/2024,283
24,4/12/2024,303
,9/4/2024,359
37,2/29/2024,77
71,5/26/2024,409
,3/7/2024,116
,7/14/2024,66
45,7/9/2024,353
69,6/12/2024,25
,6/1/2024,198
,3/3/2024,498
33,4/4/2024,230
,4/26/2024,207
,6/16/2024,439
,2/17/2024,46
,5/17/2024,294
,8/18/2024,21
46,4/11/2024,165
,8/14/2024,288
61,5/21/2024,87
20,7/9/2024,195
13,3/29/2024,30
26,5/5/2024,228
52,9/13/2024,74
88,9/12/2024,414
58,9/10/2024,329
79,6/1/2024,162
,1/9/2024,22
44,8/26/2024,383
15,3/5/2024,56
,5/25/2024,343
72,4/2/2024,476
,7/28/2024,230
,2/4/2024,51
,5/6/2024,334
,9/5/2024,48
83,8/14/2024,324
65,8/23/2024,424
76,8/22/2024,491
84,2/29/2024,109
,3/22/2024,494
,9/1/2024,333
,3/14/2024,103
,8/18/2024,22
14,3/21/2024,324
,9/7/2024,427
,8/31/2024,468
,1/18/2024,389
,1/31/2024,372
74,9/10/2024,254
,2/13/2024,117
,6/15/2024,162
24,5/28/2024,219
82,8/8/2024,383
,4/8/2024,108
,8/6/2024,244
,9/3/2024,211
79,3/25/2024,128
32,3/19/2024,337
,7/12/2024,236
77,7/14/2024,99
80,1/23/2024,370
48,4/4/2024,125
,9/6/2024,423
26,1/10/2024,211
17,8/24/2024,63
,8/9/2024,172
18,7/1/2024,347
,8/14/2024,223
63,3/20/2024,263
55,2/28/2024,238
86,2/9/2024,258
,5/4/2024,230
29,4/11/2024,273
41,9/5/2024,139
,7/23/2024,447
42,2/12/2024,384
25,6/5/2024,412
89,2/14/2024,102
54,3/22/2024,69
,4/20/2024,331
,1/30/2024,43
,3/31/2024,193
,2/23/2024,63
,1/19/2024,317
,6/17/2024,403
,4/25/2024,465
,6/16/2024,105
31,5/22/2024,461
45,7/25/2024,104
,7/22/2024,396
,2/21/2024,61
36,6/19/2024,197
33,5/31/2024,43
,4/22/2024,78
,5/22/2024,95
33,5/7/2024,26
74,1/13/2024,313
,5/25/2024,185
87,5/17/2024,324
,4/17/2024,470
65,6/23/2024,46
,4/16/2024,380
87,1/17/2024,291
28,2/3/2024,166
76,1/19/2024,384
,4/14/2024,373
,5/17/2024,80
61,3/8/2024,458
,9/2/2024,285
43,6/2/2024,125
28,4/21/2024,260
,3/14/2024,341
79,6/25/2024,489
,5/6/2024,399
49,4/6/2024,350
,7/4/2024,444
45,4/16/2024,187
,7/12/2024,239
,5/3/2024,466
26,6/11/2024,77
,8/1/2024,53
,3/27/2024,267
90,2/6/2024,484
81,5/8/2024,425
,4/1/2024,284
68,2/12/2024,80
74,7/14/2024,136
,5/2/2024,18
73,2/7/2024,445
53,5/3/2024,401
80,1/19/2024,364
,1/18/2024,456
,3/26/2024,324
68,7/30/2024,414
,3/11/2024,64
,4/18/2024,46
,5/19/2024,214
27,5/13/2024,276
11,5/28/2024,473
,6/16/2024,53
,9/3/2024,423
,7/25/2024,200
,7/27/2024,77
,4/25/2024,180
30,3/4/2024,115
15,8/1/2024,75
49,1/19/2024,498
,2/6/2024,35
71,6/21/2024,353
84,8/3/2024,371
25,3/15/2024,217
83,8/2/2024,340
,1/29/2024,401
,5/23/2024,207
50,5/31/2024,66
,4/9/2024,410
36,2/5/2024,248
,3/5/2024,484
,6/30/2024,295
,8/12/2024,18
55,7/27/2024,77
,7/5/2024,368
,5/25/2024,146
14,2/20/2024,438
56,5/24/2024,430
,8/20/2024,302
,6/17/2024,195
,6/7/2024,122
56,3/15/2024,17
,3/11/2024,253
,3/14/2024,352
79,4/22/2024,119
40,4/4/2024,422
,4/4/2024,139
90,6/2/2024,167
35,3/3/2024,35
,6/19/2024,403
,5/6/2024,361
,3/7/2024,444
,6/23/2024,115
,8/30/2024,495
,3/15/2024,141
,8/24/2024,226
66,4/21/2024,315
30,6/21/2024,76
,9/9/2024,325
,7/2/2024,298
,4/2/2024,90
44,6/22/2024,478
,2/22/2024,403
,6/30/2024,291
,9/9/2024,322
26,1/30/2024,78
,7/13/2024,362
25,6/21/2024,273
,7/16/2024,270
,8/26/2024,179
,8/11/2024,440
,7/4/2024,350
46,3/17/2024,492
,7/13/2024,135
,7/8/2024,299
,3/1/2024,266
74,8/5/2024,434
,8/31/2024,370
,1/9/2024,58
,7/19/2024,309
,2/10/2024,380
76,5/2/2024,57
33,6/9/2024,171
12,4/19/2024,211
64,7/24/2024,24
88,8/25/2024,53
24,7/8/2024,17
,8/21/2024,37
54,1/17/2024,50
26,5/5/2024,251
25,7/28/2024,119
21,5/18/2024,267
,5/26/2024,222
,9/5/2024,394
,7/14/2024,245
58,1/20/2024,18
30,7/26/2024,135
82,8/14/2024,51
88,5/23/2024,486
33,5/31/2024,312
75,6/10/2024,201
83,1/17/2024,328
,6/6/2024,102
49,8/17/2024,404
,7/8/2024,165
,8/2/2024,303
50,8/18/2024,63
17,4/27/2024,487
69,7/24/2024,319
36,6/11/2024,434
,6/1/2024,483
,4/12/2024,288
67,2/25/2024,303
23,6/22/2024,240
86,6/18/2024,223
,1/30/2024,275
,9/7/2024,127
37,5/22/2024,118
,1/23/2024,403
,4/20/2024,192
,5/19/2024,290
83,6/7/2024,208
51,8/8/2024,308
88,3/1/2024,45
70,6/18/2024,447
22,8/23/2024,176
,1/26/2024,445
10,4/18/2024,200
,2/8/2024,419
71,4/13/2024,133
56,1/12/2024,85
52,4/7/2024,312
,4/25/2024,145
,9/3/2024,184
,4/3/2024,242
,6/6/2024,26
53,7/23/2024,186
,1/11/2024,120
11,6/12/2024,146
,2/7/2024,285
33,7/24/2024,426
54,8/21/2024,296
,3/27/2024,206
51,4/30/2024,64
,8/25/2024,17
,8/31/2024,331
72,3/6/2024,146
30,6/10/2024,271
,1/7/2024,249
18,5/31/2024,21
87,2/26/2024,471
64,7/19/2024,231
,3/27/2024,392
,7/26/2024,19
,5/31/2024,86
,6/14/2024,26
,3/3/2024,65
43,9/11/2024,438
73,5/29/2024,305
,8/13/2024,107
,3/25/2024,252
40,1/7/2024,84
20,3/15/2024,235
61,3/18/2024,344
,8/13/2024,430
12,6/8/2024,57
56,8/23/2024,459
64,2/7/2024,462
,8/30/2024,68
89,6/7/2024,163
52,2/26/2024,149
,9/1/2024,196
,8/29/2024,415
76,5/14/2024,327
49,1/16/2024,376
21,7/12/2024,283
,4/17/2024,375
,3/12/2024,467
17,7/31/2024,18
,4/23/2024,109
43,8/12/2024,249
76,6/3/2024,436
32,8/8/2024,313
,7/30/2024,194
,1/10/2024,29
40,6/18/2024,243
,6/20/2024,249
,8/21/2024,190
,3/31/2024,469
20,5/24/2024,206
17,4/10/2024,395
,9/8/2024,33
30,8/31/2024,424
,3/26/2024,346
88,3/26/2024,135
,8/5/2024,36
24,1/27/2024,432
39,1/16/2024,214
,8/27/2024,302
,5/12/2024,349
,5/4/2024,29
,1/13/2024,404
73,7/26/2024,326
60,1/20/2024,471
,7/31/2024,22
,4/6/2024,258
83,8/15/2024,255
89,7/16/2024,225
,8/14/2024,35
,5/22/2024,153
,7/16/2024,285
,1/11/2024,119
,3/17/2024,70
,6/5/2024,147
,8/16/2024,495
,7/2/2024,171
,4/6/2024,427
,8/13/2024,69
,1/29/2024,56
,4/12/2024,108
,3/6/2024,148
35,1/11/2024,489
,6/23/2024,495
27,4/26/2024,414
,3/17/2024,375
,6/19/2024,451
74,5/5/2024,259
22,7/4/2024,217
34,1/12/2024,295
,4/22/2024,292
,1/14/2024,262
51,3/4/2024,294
,5/6/2024,452
37,3/29/2024,420
,2/28/2024,159
,7/13/2024,187
,8/10/2024,500
17,5/9/2024,470
,2/28/2024,227
,2/5/2024,145
67,5/19/2024,353
14,8/30/2024,349
,8/21/2024,180
,4/20/2024,177
,3/6/2024,429
,6/16/2024,120
,3/23/2024,347
,2/3/2024,379
20,5/2/2024,228
,1/15/2024,120
,8/28/2024,386
,7/19/2024,466
,2/2/2024,142
74,5/1/2024,480
76,5/3/2024,334
77,4/11/2024,120
,3/8/2024,442
,3/4/2024,246
,3/25/2024,333
57,4/1/2024,388
,4/23/2024,390
,6/27/2024,352
,9/12/2024,186
,1/30/2024,140
,2/17/2024,412
83,7/10/2024,343
,6/24/2024,189
,7/30/2024,200
,8/25/2024,172
,3/18/2024,482
,8/9/2024,424
74,1/17/2024,73
27,7/27/2024,170
,4/4/2024,95
69,2/25/2024,271
,1/8/2024,175
31,2/5/2024,189
,6/23/2024,435
,3/2/2024,67
,3/5/2024,449
,9/11/2024,497
,1/9/2024,360
,9/13/2024,240
16,7/18/2024,467
90,3/27/2024,380
84,7/14/2024,301
,8/1/2024,332
,5/7/2024,375
,1/16/2024,366
29,2/11/2024,176
63,2/5/2024,383
87,1/10/2024,244
,5/10/2024,24
,8/30/2024,215
,7/13/2024,365
85,1/11/2024,17
,9/5/2024,275
22,2/9/2024,240
,5/30/2024,26
,7/25/2024,178
,1/11/2024,62
,8/18/2024,296
79,8/26/2024,281
47,8/30/2024,215
15,3/3/2024,435
54,5/19/2024,72
65,7/8/2024,37
,4/4/2024,32
23,3/1/2024,84
28,5/21/2024,100
46,4/4/2024,348
,7/12/2024,185
,4/15/2024,354
,4/30/2024,375
,7/13/2024,438
36,7/7/2024,104
68,6/19/2024,238
36,2/27/2024,106
,7/27/2024,421
,3/13/2024,265
,6/23/2024,374
80,5/30/2024,28
60,4/7/2024,59
,8/5/2024,333
24,5/24/2024,221
44,1/22/2024,363
,2/16/2024,384
79,8/31/2024,461
74,8/25/2024,122
,4/18/2024,227
62,7/5/2024,147
60,6/14/2024,126
25,3/16/2024,329
77,2/25/2024,320
,3/15/2024,222
58,4/22/2024,28
,9/7/2024,114
,3/18/2024,256
37,5/11/2024,237
81,7/14/2024,232
,6/3/2024,441
80,4/6/2024,158
,1/14/2024,36
36,6/5/2024,297
,8/7/2024,231
,6/14/2024,498
,1/12/2024,118
23,4/3/2024,236
40,3/20/2024,138
,5/21/2024,338
,9/10/2024,37
,4/29/2024,152
31,3/18/2024,399
61,5/7/2024,493
,7/23/2024,177
,1/9/2024,375
,6/12/2024,24
37,3/13/2024,264
,6/26/2024,357
45,8/21/2024,258
77,4/10/2024,483
,1/27/2024,330
45,7/3/2024,95
18,7/22/2024,313
,4/19/2024,176
,9/8/2024,286
,4/11/2024,318
,4/8/2024,163
70,3/8/2024,107
,3/8/2024,430
64,6/17/2024,33
78,7/11/2024,241
27,3/11/2024,159
57,1/10/2024,91
85,5/13/2024,410
11,4/14/2024,291
,3/6/2024,237
,3/6/2024,498
52,3/30/2024,287
65,4/15/2024,343
,6/18/2024,234
,2/18/2024,115
74,8/12/2024,473
,4/14/2024,67
,9/5/2024,267
,1/25/2024,44
10,7/7/2024,411
,9/7/2024,343
,5/1/2024,325
,6/30/2024,313
16,2/13/2024,280
27,1/23/2024,371
,5/26/2024,322
88,9/12/2024,376
85,1/15/2024,283
35,7/3/2024,442
,4/4/2024,169
,4/22/2024,241
,4/3/2024,386
42,4/25/2024,472
,1/31/2024,425
28,8/6/2024,277
,5/17/2024,313
,4/30/2024,213
,4/8/2024,390
47,3/6/2024,326
62,2/24/2024,471
,2/7/2024,28
,8/30/2024,242
47,6/30/2024,382
75,3/25/2024,287
62,1/4/2024,403
21,9/12/2024,50
,3/18/2024,308
,1/13/2024,379
43,6/21/2024,456
,6/28/2024,43
,1/20/2024,55
,8/21/2024,34
44,3/8/2024,274
60,7/29/2024,55
65,7/29/2024,372
,5/2/2024,74
32,5/10/2024,124
83,7/7/2024,495
,1/13/2024,457
74,4/12/2024,362
61,5/16/2024,219
40,9/4/2024,172
,4/15/2024,400
40,8/16/2024,300
31,2/12/2024,401
,1/28/2024,460
,5/4/2024,190
,1/12/2024,288
,6/11/2024,470
,6/2/2024,406
18,2/24/2024,160
22,6/1/2024,200
82,2/18/2024,146
,2/13/2024,60
17,5/29/2024,474
90,1/4/2024,494
13,2/12/2024,20
,5/28/2024,386
46,2/5/2024,413
,9/12/2024,428
36,8/11/2024,434
,8/28/2024,411
,2/15/2024,30
,3/16/2024,378
,7/5/2024,147
,8/19/2024,198
79,3/24/2024,36
,6/16/2024,352
,6/16/2024,432
59,6/6/2024,292
,1/15/2024,137
51,6/8/2024,322
56,7/1/2024,267
,2/24/2024,100
,2/5/2024,295
,1/22/2024,498
,8/18/2024,178
23,5/14/2024,158
83,3/15/2024,338
,8/16/2024,355
,5/10/2024,300
21,6/4/2024,16
,4/5/2024,245
71,4/21/2024,356
53,8/21/2024,295
,3/1/2024,453
65,1/28/2024,48
,4/4/2024,171
,5/10/2024,255
49,8/17/2024,271
,6/13/2024,37
90,3/21/2024,279
62,3/4/2024,315
34,1/7/2024,382
,3/24/2024,63
,6/15/2024,440
35,6/22/2024,423
,6/16/2024,383
,8/18/2024,21
,1/16/2024,143
29,5/26/2024,267
,2/11/2024,342
83,8/19/2024,478
59,6/26/2024,471
15,4/18/2024,434
,4/17/2024,124
52,4/8/2024,214
86,7/28/2024,283
,1/22/2024,497
30,3/17/2024,59
79,7/8/2024,197
,3/23/2024,335
53,6/28/2024,494
85,5/10/2024,194
34,1/22/2024,439
28,8/16/2024,495
,8/20/2024,318
58,4/16/2024,180
,5/15/2024,440
57,6/25/2024,281
79,5/12/2024,338
,6/7/2024,451
,7/21/2024,282
,7/14/2024,17
,8/11/2024,365
39,6/21/2024,146
,5/25/2024,366
,7/24/2024,297
,3/17/2024,282
42,5/20/2024,98
,7/18/2024,100
58,5/15/2024,368
,7/20/2024,423
27,3/4/2024,104
,7/25/2024,252
37,1/12/2024,379
57,1/30/2024,189
48,6/5/2024,433
10,5/8/2024,489
,7/4/2024,334
,2/11/2024,72
58,6/13/2024,271
86,6/4/2024,263
38,7/9/2024,111
58,8/26/2024,289
,9/1/2024,159
,6/26/2024,390
15,4/18/2024,71
,5/17/2024,422
,3/12/2024,360
10,5/27/2024,306
50,9/12/2024,418
,6/29/2024,486
,5/13/2024,396
,6/27/2024,288
16,8/9/2024,85
24,6/14/2024,80
,7/4/2024,160
,7/29/2024,158
,3/13/2024,68
71,3/20/2024,98
,7/20/2024,168
,7/9/2024,298
58,9/4/2024,94
,8/22/2024,375
,6/27/2024,297
,7/12/2024,185
78,5/6/2024,194
,5/1/2024,246
,6/2/2024,368
,5/1/2024,305
,8/28/2024,344
,3/22/2024,227
,2/3/2024,437
,7/7/2024,333
53,6/14/2024,496
,2/3/2024,74
,9/2/2024,377
31,6/21/2024,368
,4/8/2024,285
,3/29/2024,410
61,3/2/2024,485
65,6/9/2024,73
71,1/13/2024,450
82,8/14/2024,398
,4/21/2024,210
44,8/19/2024,165
,5/1/2024,92
65,2/22/2024,394
56,6/4/2024,271
,3/8/2024,86
,2/7/2024,60
,6/19/2024,439
,2/9/2024,477
,8/12/2024,346
,6/30/2024,129
,8/14/2024,417
,1/13/2024,470
,7/22/2024,410
,3/25/2024,24
10,2/7/2024,408
,8/15/2024,116
,7/17/2024,294
80,7/19/2024,286
88,8/10/2024,148
13,2/5/2024,109
,1/30/2024,491
73,1/30/2024,329
17,3/7/2024,330
,2/2/2024,84
,2/5/2024,20
58,8/27/2024,88
,5/18/2024,322
48,6/28/2024,101
,6/24/2024,293
,7/14/2024,274
,8/20/2024,119
59,6/15/2024,277
,6/3/2024,23
,3/9/2024,26
,7/16/2024,424
,8/17/2024,283
69,4/15/2024,436
,2/20/2024,202
,6/23/2024,181
17,8/7/2024,199
52,1/24/2024,102
,4/2/2024,193
90,9/7/2024,60
,8/27/2024,88
48,5/22/2024,488
48,1/11/2024,271
,6/14/2024,94
51,6/24/2024,338
42,6/22/2024,210
,7/18/2024,21
53,2/25/2024,119
86,1/28/2024,358
77,1/8/2024,347
,8/30/2024,207
18,7/22/2024,397
,4/3/2024,53
78,8/14/2024,413
,5/21/2024,247
,4/28/2024,80
,6/15/2024,214
62,3/20/2024,486
52,3/1/2024,357
75,7/28/2024,153
,6/25/2024,214
26,7/17/2024,132
,4/4/2024,316
68,4/20/2024,176
,7/22/2024,177
37,3/20/2024,455
,7/16/2024,209
,2/26/2024,145
,2/11/2024,315
12,1/15/2024,431
,1/8/2024,324
64,2/25/2024,385
,1/5/2024,333
30,6/10/2024,156
77,2/23/2024,281
,8/14/2024,126
,2/4/2024,261
63,5/20/2024,444
,4/17/2024,480
,2/1/2024,272
16,8/18/2024,174
63,9/12/2024,477
,9/7/2024,195
,7/8/2024,186
40,1/7/2024,386
,5/18/2024,67
,6/2/2024,491
,3/27/2024,456
74,6/26/2024,499
87,6/18/2024,377
,5/28/2024,475
57,6/26/2024,298
89,8/30/2024,300
,2/16/2024,64
15,5/23/2024,479
52,3/30/2024,221
,3/31/2024,77
86,2/2/2024,174
65,2/24/2024,453
,8/27/2024,178
53,8/19/2024,389
45,8/20/2024,434
,4/27/2024,38
60,5/13/2024,287
20,3/5/2024,242
,7/30/2024,347
45,6/30/2024,181
37,9/3/2024,384
,6/29/2024,26
64,4/23/2024,257
29,7/23/2024,203
25,1/7/2024,191
30,2/22/2024,143
,5/28/2024,467
82,2/15/2024,487
60,7/5/2024,417
,5/13/2024,128
,7/12/2024,462
,8/1/2024,290
74,3/14/2024,357
,8/23/2024,461
63,1/6/2024,255
,3/14/2024,359
,3/8/2024,391
,9/7/2024,185
,7/18/2024,248
,6/4/2024,61
,8/1/2024,295
,8/12/2024,78
,3/19/2024,319
34,6/15/2024,479
81,1/14/2024,183
60,7/22/2024,497
31,8/3/2024,182
,3/20/2024,373
64,2/25/2024,252
,2/22/2024,430
,4/27/2024,443
,1/10/2024,150
39,6/17/2024,268
,6/1/2024,44
,8/22/2024,224
,5/6/2024,222
14,3/16/2024,423
34,8/21/2024,192
,6/24/2024,289
,7/14/2024,489
63,6/30/2024,83
17,7/21/2024,140
,5/16/2024,32
79,8/30/2024,437
,4/20/2024,259
,7/31/2024,131
51,3/10/2024,57
73,2/16/2024,155
,2/3/2024,52
57,5/14/2024,40
,5/4/2024,338
